,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3076949,34623068,2019-06-26,t,$254.00,$254.00,3,6
3076950,34623068,2019-06-27,t,$255.00,$255.00,3,6
3076951,34623068,2019-06-28,t,$255.00,$255.00,3,6
3076952,34623068,2019-06-29,t,$255.00,$255.00,3,6
3076953,34623068,2019-06-30,t,$250.00,$250.00,3,6
3077761,34529088,2019-06-26,t,$169.00,$169.00,2,1125
3077762,34529088,2019-06-27,t,$169.00,$169.00,2,1125
3077765,34529088,2019-06-30,t,$199.00,$199.00,2,1125
3078926,34537469,2019-06-27,t,$15.00,$15.00,1,1125
3079259,34627077,2019-06-30,t,$110.00,$110.00,1,1125
3079621,34541444,2019-06-25,t,$97.00,$97.00,2,1125
3079622,34541444,2019-06-26,t,$97.00,$97.00,2,1125
3079623,34541444,2019-06-27,t,$97.00,$97.00,2,1125
3079624,34541444,2019-06-28,t,$125.00,$125.00,2,1125
3079625,34541444,2019-06-29,t,$140.00,$140.00,2,1125
3079626,34541444,2019-06-30,t,$97.00,$97.00,2,1125
3080061,34543175,2019-06-25,t,$120.00,$120.00,2,1125
3080062,34543175,2019-06-26,t,$120.00,$120.00,2,1125
3080063,34543175,2019-06-27,t,$120.00,$120.00,2,1125
3080064,34543175,2019-06-28,t,$120.00,$120.00,2,1125
3080065,34543175,2019-06-29,t,$120.00,$120.00,2,1125
3080066,34543175,2019-06-30,t,$120.00,$120.00,2,1125
3080601,34627499,2019-06-25,t,$109.00,$109.00,1,1125
3080602,34627499,2019-06-26,t,$109.00,$109.00,1,1125
3080603,34627499,2019-06-27,t,$111.00,$111.00,1,1125
3080604,34627499,2019-06-28,t,$111.00,$111.00,1,1125
3080605,34627499,2019-06-29,t,$111.00,$111.00,1,1125
3080606,34627499,2019-06-30,t,$111.00,$111.00,1,1125
3080976,34627684,2019-06-25,t,$61.00,$61.00,2,30
3080977,34627684,2019-06-26,t,$61.00,$61.00,2,30
3080978,34627684,2019-06-27,t,$61.00,$61.00,2,30
3080979,34627684,2019-06-28,t,$61.00,$61.00,2,30
3080980,34627684,2019-06-29,t,$61.00,$61.00,2,30
3080981,34627684,2019-06-30,t,$61.00,$61.00,2,30
3082949,34629348,2019-06-25,t,$166.00,$166.00,1,1125
3082950,34629348,2019-06-26,t,$166.00,$166.00,1,1125
3082951,34629348,2019-06-27,t,$174.00,$174.00,1,1125
3082954,34629348,2019-06-30,t,$172.00,$172.00,1,1125
3083314,34629392,2019-06-25,t,$91.00,$91.00,1,7
3083315,34629392,2019-06-26,t,$91.00,$91.00,1,7
3083316,34629392,2019-06-27,t,$91.00,$91.00,1,7
3083317,34629392,2019-06-28,t,$91.00,$91.00,1,7
3083318,34629392,2019-06-29,t,$91.00,$91.00,1,7
3083319,34629392,2019-06-30,t,$91.00,$91.00,1,7
3083679,34630457,2019-06-25,t,$85.00,$85.00,31,1125
3083680,34630457,2019-06-26,t,$92.00,$92.00,31,1125
3083681,34630457,2019-06-27,t,$92.00,$92.00,31,1125
3083682,34630457,2019-06-28,t,$87.00,$87.00,31,1125
3083683,34630457,2019-06-29,t,$87.00,$87.00,31,1125
3083684,34630457,2019-06-30,t,$125.00,$125.00,31,1125
3084044,34630864,2019-06-25,t,$170.00,$170.00,1,1125
3084045,34630864,2019-06-26,t,$170.00,$170.00,1,1125
3084046,34630864,2019-06-27,t,$170.00,$170.00,1,1125
3084047,34630864,2019-06-28,t,$170.00,$170.00,1,1125
3084048,34630864,2019-06-29,t,$170.00,$170.00,1,1125
3084049,34630864,2019-06-30,t,$170.00,$170.00,1,1125
3084524,34545354,2019-06-25,t,$100.00,$100.00,1,1125
3084525,34545354,2019-06-26,t,$100.00,$100.00,1,1125
3084526,34545354,2019-06-27,t,$100.00,$100.00,1,1125
3084527,34545354,2019-06-28,t,$100.00,$100.00,1,1125
3084528,34545354,2019-06-29,t,$100.00,$100.00,1,1125
3084529,34545354,2019-06-30,t,$100.00,$100.00,1,1125
3084894,34546022,2019-06-30,t,$160.00,$160.00,2,30
3085653,34631090,2019-06-26,t,$50.00,$50.00,1,1125
3085654,34631090,2019-06-27,t,$50.00,$50.00,1,1125
